subject,relation,object,sentence
Cells,category,prokaryotic,Cells fall into one of two broad categories: prokaryotic and eukaryotic.
Cells,category,eukaryotic,Cells fall into one of two broad categories: prokaryotic and eukaryotic.
Bacteria,classified as,prokaryotes,"We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = ""before""; -kary- = ""nucleus"")."
Archaea,classified as,prokaryotes,"We classify only the predominantly single-celled organisms Bacteria and Archaea as prokaryotes (pro- = ""before""; -kary- = ""nucleus"")."
eukaryotes,include,plants,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = ""true"")."
eukaryotes,include,animals,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = ""true"")."
eukaryotes,include,fungi,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = ""true"")."
eukaryotes,include,protists,"Animal cells, plants, fungi, and protists are all eukaryotes (eu- = ""true"")."
cells,have components,plasma membrane,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell's interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins."
cells,have components,cytoplasm,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell's interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins."
cells,have components,DNA,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell's interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins."
cells,have components,ribosomes,"All cells share four common components: 1) a plasma membrane, an outer covering that separates the cell's interior from its surrounding environment; 2) cytoplasm, consisting of a jelly-like cytosol within the cell in which there are other cellular components; 3) DNA, the cell's genetic material; and 4) ribosomes, which synthesize proteins."
