keywords,sentence
"['endomembrane system', 'eukaryotic cells', 'Figure 4.18', 'lipids', 'proteins']","The endomembrane system (endo = ""within"") is a group of membranes and organelles (Figure 4.18) in eukaryotic cells that works together to modify, package, and transport lipids and proteins."
"['nuclear envelope', 'lysosomes', 'vesicles', 'endoplasmic reticulum', 'Golgi apparatus']","It includes the nuclear envelope, lysosomes, and vesicles, which we have already mentioned, and the endoplasmic reticulum and Golgi apparatus, which we will cover shortly."
"['plasma membrane', 'endomembrane system']","Although not technically within the cell, the plasma membrane is included in the endomembrane system because, as you will see, it interacts with the other endomembranous organelles."
"['endomembrane system', 'mitochondria', 'chloroplast membranes']",The endomembrane system does not include either mitochondria or chloroplast membranes.
"['rough endoplasmic reticulum', 'membrane proteins', 'secretory proteins']",Membrane and secretory proteins are synthesized in the rough endoplasmic reticulum (RER).
"['RER', 'proteins']",The RER also sometimes modifies proteins.
"['carbohydrate', 'integral membrane protein', 'ER']","In this illustration, an attachment of a (purple) carbohydrate modifies a (green) integral membrane protein in the ER."
"['ER', 'Golgi apparatus']",Vesicles with the integral protein bud from the ER and fuse with the Golgi apparatus' cis face.
"['protein', ""Golgi's cisternae"", 'carbohydrates']","As the protein passes along the Golgi's cisternae, the addition of more carbohydrates further modifies it."
"['Golgi', 'ER']","After its synthesis is complete, it exits as an integral membrane protein of the vesicle that buds from the Golgi's trans If a peripheral membrane protein were synthesized in the lumen (inside) of the ER, would it end up on the inside or outside of the plasma membrane?"
"['endoplasmic reticulum', 'ER', 'Figure 4.18']",The endoplasmic reticulum (ER) (Figure 4.18) is a series of interconnected membranous sacs and tubules that collectively modifies proteins and synthesizes lipids.
"['ER', 'rough ER', 'smooth ER']","However, these two functions take place in separate areas of the ER: the rough ER and the smooth ER, respectively."
"['ER tubules', 'lumen', 'cisternal space']",We call the ER tubules' hollow portion the lumen or cisternal space.
"['ER', 'phospholipid bilayer', 'proteins', 'nuclear envelope']","The ER's membrane, which is a phospholipid bilayer embedded with proteins, is continuous with the nuclear envelope."
"['rough endoplasmic reticulum', 'RER', 'ribosomes', 'cytoplasmic surface', 'electron microscope', 'Figure 4.19']",Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
"['transmission electron micrograph', 'rough endoplasmic reticulum', 'pancreatic cell', 'organelles']",This transmission electron micrograph shows the rough endoplasmic reticulum and other organelles in a pancreatic cell.
"['Ribosomes', 'proteins', 'RER']","Ribosomes transfer their newly synthesized proteins into the RER's lumen where they undergo structural modifications, such as folding or acquiring side chains."
"['ER', ""organelles' membranes""]",These modified proteins incorporate into cellular membranes—the ER or the ER's or other organelles' membranes.
"['proteins', 'cell', 'protein hormones', 'enzymes']","The proteins can also secrete from the cell (such as protein hormones, enzymes)."
"['RER', 'phospholipids']",The RER also makes phospholipids for cellular membranes.
"['RER', 'phospholipids', 'proteins', 'transport vesicles', 'Figure 4.18']","If the phospholipids or modified proteins are not destined to stay in the RER, they will reach their destinations via transport vesicles that bud from the RER's membrane (Figure 4.18)."
"['RER', 'proteins', 'enzymes', 'cell']","Since the RER is engaged in modifying proteins (such as enzymes, for example) that secrete from the cell, you would be correct in assuming that the RER is abundant in cells that secrete proteins."
['liver cells'],"This is the case with liver cells, for example."
"['smooth endoplasmic reticulum', 'RER', 'cytoplasmic surface', 'ribosomes', 'Figure 4.18']",The smooth endoplasmic reticulum (SER) is continuous with the RER but has few or no ribosomes on its cytoplasmic surface (Figure 4.18).
"['SER', 'carbohydrates', 'lipids', 'steroid hormones', 'medications', 'poisons', 'calcium ions']","SER functions include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storing calcium ions."
"['sarcoplasmic reticulum', 'SER', 'calcium ions']","In muscle cells, a specialized SER, the sarcoplasmic reticulum, is responsible for storing calcium ions that are needed to trigger the muscle cells' coordinated contractions."
['endomembrane system'],You can watch an excellent animation of the endomembrane system here.
"['animation', 'self-assessment']","At the end of the animation, there is a short self-assessment."
"['United States', 'Heart disease']",Heart disease is the leading cause of death in the United States.
"['sedentary lifestyle', 'trans-fat diets']",This is primarily due to our sedentary lifestyle and our high trans-fat diets.
"['heart failure', 'heart conditions']",Heart failure is just one of many disabling heart conditions.
"['heart failure', 'heart']",Heart failure does not mean that the heart has stopped working.
"['heart', 'oxygenated blood', 'vital organs']","Rather, it means that the heart can't pump with sufficient force to transport oxygenated blood to all the vital organs."
"['heart failure', 'kidney failure', 'organ failure']","Left untreated, heart failure can lead to kidney failure and other organ failure."
"['Cardiac muscle tissue', 'heart']",Cardiac muscle tissue comprises the heart's wall.
"['heart failure', 'cardiac muscle cells', 'endoplasmic reticula']",Heart failure occurs when cardiac muscle cells' endoplasmic reticula do not function properly.
"['calcium ions', 'contractile force']","As a result, an insufficient number of calcium ions are available to trigger a sufficient contractile force."
