subject,relation,object,sentence
endomembrane system,is a group of,membranes and organelles,"The endomembrane system (endo = ""within"") is a group of membranes and organelles (Figure 4.18) in eukaryotic cells that works together to modify, package, and transport lipids and proteins."
endomembrane system,works together to,"modify, package, and transport lipids and proteins","The endomembrane system (endo = ""within"") is a group of membranes and organelles (Figure 4.18) in eukaryotic cells that works together to modify, package, and transport lipids and proteins."
membranes and organelles,are in,eukaryotic cells,"The endomembrane system (endo = ""within"") is a group of membranes and organelles (Figure 4.18) in eukaryotic cells that works together to modify, package, and transport lipids and proteins."
Figure 4.18,shows,membranes and organelles,"The endomembrane system (endo = ""within"") is a group of membranes and organelles (Figure 4.18) in eukaryotic cells that works together to modify, package, and transport lipids and proteins."
lipids,"are modified, packaged, and transported by",endomembrane system,"The endomembrane system (endo = ""within"") is a group of membranes and organelles (Figure 4.18) in eukaryotic cells that works together to modify, package, and transport lipids and proteins."
proteins,"are modified, packaged, and transported by",endomembrane system,"The endomembrane system (endo = ""within"") is a group of membranes and organelles (Figure 4.18) in eukaryotic cells that works together to modify, package, and transport lipids and proteins."
nuclear envelope,part of,cell,"It includes the nuclear envelope, lysosomes, and vesicles, which we have already mentioned, and the endoplasmic reticulum and Golgi apparatus, which we will cover shortly."
lysosomes,part of,cell,"It includes the nuclear envelope, lysosomes, and vesicles, which we have already mentioned, and the endoplasmic reticulum and Golgi apparatus, which we will cover shortly."
vesicles,part of,cell,"It includes the nuclear envelope, lysosomes, and vesicles, which we have already mentioned, and the endoplasmic reticulum and Golgi apparatus, which we will cover shortly."
endoplasmic reticulum,part of,cell,"It includes the nuclear envelope, lysosomes, and vesicles, which we have already mentioned, and the endoplasmic reticulum and Golgi apparatus, which we will cover shortly."
Golgi apparatus,part of,cell,"It includes the nuclear envelope, lysosomes, and vesicles, which we have already mentioned, and the endoplasmic reticulum and Golgi apparatus, which we will cover shortly."
plasma membrane,part of,endomembrane system,"Although not technically within the cell, the plasma membrane is included in the endomembrane system because, as you will see, it interacts with the other endomembranous organelles."
endomembrane system,interacts with,plasma membrane,"Although not technically within the cell, the plasma membrane is included in the endomembrane system because, as you will see, it interacts with the other endomembranous organelles."
endomembrane system,does not include,mitochondria,The endomembrane system does not include either mitochondria or chloroplast membranes.
endomembrane system,does not include,chloroplast membranes,The endomembrane system does not include either mitochondria or chloroplast membranes.
membrane proteins,synthesized in,rough endoplasmic reticulum,Membrane and secretory proteins are synthesized in the rough endoplasmic reticulum (RER).
secretory proteins,synthesized in,rough endoplasmic reticulum,Membrane and secretory proteins are synthesized in the rough endoplasmic reticulum (RER).
RER,modifies,proteins,The RER also sometimes modifies proteins.
carbohydrate,modifies,integral membrane protein,"In this illustration, an attachment of a (purple) carbohydrate modifies a (green) integral membrane protein in the ER."
integral membrane protein,is modified by,carbohydrate,"In this illustration, an attachment of a (purple) carbohydrate modifies a (green) integral membrane protein in the ER."
integral membrane protein,is located in,ER,"In this illustration, an attachment of a (purple) carbohydrate modifies a (green) integral membrane protein in the ER."
Vesicles,bud from,ER,Vesicles with the integral protein bud from the ER and fuse with the Golgi apparatus' cis face.
Vesicles,fuse with,Golgi apparatus' cis face,Vesicles with the integral protein bud from the ER and fuse with the Golgi apparatus' cis face.
protein,passes along,Golgi's cisternae,"As the protein passes along the Golgi's cisternae, the addition of more carbohydrates further modifies it."
Golgi's cisternae,modifies,protein,"As the protein passes along the Golgi's cisternae, the addition of more carbohydrates further modifies it."
carbohydrates,further modifies,protein,"As the protein passes along the Golgi's cisternae, the addition of more carbohydrates further modifies it."
Golgi,is the origin of,vesicle,"After its synthesis is complete, it exits as an integral membrane protein of the vesicle that buds from the Golgi's trans If a peripheral membrane protein were synthesized in the lumen (inside) of the ER, would it end up on the inside or outside of the plasma membrane?"
vesicle,contains,integral membrane protein,"After its synthesis is complete, it exits as an integral membrane protein of the vesicle that buds from the Golgi's trans If a peripheral membrane protein were synthesized in the lumen (inside) of the ER, would it end up on the inside or outside of the plasma membrane?"
ER,is the location of,synthesis,"After its synthesis is complete, it exits as an integral membrane protein of the vesicle that buds from the Golgi's trans If a peripheral membrane protein were synthesized in the lumen (inside) of the ER, would it end up on the inside or outside of the plasma membrane?"
peripheral membrane protein,is synthesized in,ER,"After its synthesis is complete, it exits as an integral membrane protein of the vesicle that buds from the Golgi's trans If a peripheral membrane protein were synthesized in the lumen (inside) of the ER, would it end up on the inside or outside of the plasma membrane?"
plasma membrane,has protein on,outside,"After its synthesis is complete, it exits as an integral membrane protein of the vesicle that buds from the Golgi's trans If a peripheral membrane protein were synthesized in the lumen (inside) of the ER, would it end up on the inside or outside of the plasma membrane?"
endoplasmic reticulum,is a series of,interconnected membranous sacs and tubules,The endoplasmic reticulum (ER) (Figure 4.18) is a series of interconnected membranous sacs and tubules that collectively modifies proteins and synthesizes lipids.
endoplasmic reticulum,modifies,proteins,The endoplasmic reticulum (ER) (Figure 4.18) is a series of interconnected membranous sacs and tubules that collectively modifies proteins and synthesizes lipids.
endoplasmic reticulum,synthesizes,lipids,The endoplasmic reticulum (ER) (Figure 4.18) is a series of interconnected membranous sacs and tubules that collectively modifies proteins and synthesizes lipids.
ER,has function in,rough ER,"However, these two functions take place in separate areas of the ER: the rough ER and the smooth ER, respectively."
rough ER,is located in,separate area of ER,"However, these two functions take place in separate areas of the ER: the rough ER and the smooth ER, respectively."
smooth ER,has function in,lipid synthesis,"However, these two functions take place in separate areas of the ER: the rough ER and the smooth ER, respectively."
ER tubules,has,hollow portion,We call the ER tubules' hollow portion the lumen or cisternal space.
hollow portion,is called,lumen,We call the ER tubules' hollow portion the lumen or cisternal space.
hollow portion,is called,cisternal space,We call the ER tubules' hollow portion the lumen or cisternal space.
ER,is continuous with,nuclear envelope,"The ER's membrane, which is a phospholipid bilayer embedded with proteins, is continuous with the nuclear envelope."
ER's membrane,is embedded with,proteins,"The ER's membrane, which is a phospholipid bilayer embedded with proteins, is continuous with the nuclear envelope."
Scientists,named as,rough endoplasmic reticulum,Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
ribosomes,attached to,cytoplasmic surface,Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
rough endoplasmic reticulum,has,ribosomes,Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
rough endoplasmic reticulum,has,studded appearance,Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
viewing,through,electron microscope,Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
rough endoplasmic reticulum,viewed through,electron microscope,Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
Figure 4.19,shows,rough endoplasmic reticulum,Scientists have named the rough endoplasmic reticulum (RER) as such because the ribosomes attached to its cytoplasmic surface give it a studded appearance when viewing it through an electron microscope (Figure 4.19).
transmission electron micrograph,shows,rough endoplasmic reticulum,This transmission electron micrograph shows the rough endoplasmic reticulum and other organelles in a pancreatic cell.
transmission electron micrograph,shows,organelles,This transmission electron micrograph shows the rough endoplasmic reticulum and other organelles in a pancreatic cell.
pancreatic cell,contains,rough endoplasmic reticulum,This transmission electron micrograph shows the rough endoplasmic reticulum and other organelles in a pancreatic cell.
pancreatic cell,contains,organelles,This transmission electron micrograph shows the rough endoplasmic reticulum and other organelles in a pancreatic cell.
Ribosomes,synthesize proteins,newly synthesized proteins,"Ribosomes transfer their newly synthesized proteins into the RER's lumen where they undergo structural modifications, such as folding or acquiring side chains."
Ribosomes,transfer proteins,the RER's lumen,"Ribosomes transfer their newly synthesized proteins into the RER's lumen where they undergo structural modifications, such as folding or acquiring side chains."
proteins,undergo modifications,structural modifications,"Ribosomes transfer their newly synthesized proteins into the RER's lumen where they undergo structural modifications, such as folding or acquiring side chains."
proteins,undergo modifications,folding,"Ribosomes transfer their newly synthesized proteins into the RER's lumen where they undergo structural modifications, such as folding or acquiring side chains."
proteins,undergo modifications,acquiring side chains,"Ribosomes transfer their newly synthesized proteins into the RER's lumen where they undergo structural modifications, such as folding or acquiring side chains."
RER,contains lumen,newly synthesized proteins,"Ribosomes transfer their newly synthesized proteins into the RER's lumen where they undergo structural modifications, such as folding or acquiring side chains."
modified proteins,incorporate into,cellular membranes,These modified proteins incorporate into cellular membranes—the ER or the ER's or other organelles' membranes.
cellular membranes,located in,ER,These modified proteins incorporate into cellular membranes—the ER or the ER's or other organelles' membranes.
ER,located in,organelles' membranes,These modified proteins incorporate into cellular membranes—the ER or the ER's or other organelles' membranes.
proteins,secrete from,cell,"The proteins can also secrete from the cell (such as protein hormones, enzymes)."
proteins,secrete protein hormones,from cell,"The proteins can also secrete from the cell (such as protein hormones, enzymes)."
proteins,secrete enzymes,from cell,"The proteins can also secrete from the cell (such as protein hormones, enzymes)."
RER,makes,phospholipids,The RER also makes phospholipids for cellular membranes.
phospholipids,are for,cellular membranes,The RER also makes phospholipids for cellular membranes.
phospholipids,destined to stay in,the RER,"If the phospholipids or modified proteins are not destined to stay in the RER, they will reach their destinations via transport vesicles that bud from the RER's membrane (Figure 4.18)."
modified proteins,destined to stay in,the RER,"If the phospholipids or modified proteins are not destined to stay in the RER, they will reach their destinations via transport vesicles that bud from the RER's membrane (Figure 4.18)."
transport vesicles,bud from,the RER's membrane,"If the phospholipids or modified proteins are not destined to stay in the RER, they will reach their destinations via transport vesicles that bud from the RER's membrane (Figure 4.18)."
transport vesicles,reach,destinations,"If the phospholipids or modified proteins are not destined to stay in the RER, they will reach their destinations via transport vesicles that bud from the RER's membrane (Figure 4.18)."
Figure 4.18,depicts,transport vesicles,"If the phospholipids or modified proteins are not destined to stay in the RER, they will reach their destinations via transport vesicles that bud from the RER's membrane (Figure 4.18)."
RER,modifies,proteins,"Since the RER is engaged in modifying proteins (such as enzymes, for example) that secrete from the cell, you would be correct in assuming that the RER is abundant in cells that secrete proteins."
proteins,secreted by,cell,"Since the RER is engaged in modifying proteins (such as enzymes, for example) that secrete from the cell, you would be correct in assuming that the RER is abundant in cells that secrete proteins."
enzymes,are proteins,modified by RER,"Since the RER is engaged in modifying proteins (such as enzymes, for example) that secrete from the cell, you would be correct in assuming that the RER is abundant in cells that secrete proteins."
liver cells,are example of,cells,"This is the case with liver cells, for example."
smooth endoplasmic reticulum,is continuous with, RER,The smooth endoplasmic reticulum (SER) is continuous with the RER but has few or no ribosomes on its cytoplasmic surface (Figure 4.18).
smooth endoplasmic reticulum,has few or no,ribosomes,The smooth endoplasmic reticulum (SER) is continuous with the RER but has few or no ribosomes on its cytoplasmic surface (Figure 4.18).
smooth endoplasmic reticulum,has,cytoplasmic surface,The smooth endoplasmic reticulum (SER) is continuous with the RER but has few or no ribosomes on its cytoplasmic surface (Figure 4.18).
smooth endoplasmic reticulum,is shown in,Figure 4.18,The smooth endoplasmic reticulum (SER) is continuous with the RER but has few or no ribosomes on its cytoplasmic surface (Figure 4.18).
SER,synthesize,carbohydrates,"SER functions include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storing calcium ions."
SER,synthesize,lipids,"SER functions include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storing calcium ions."
SER,synthesize,steroid hormones,"SER functions include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storing calcium ions."
SER,detoxify,medications,"SER functions include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storing calcium ions."
SER,detoxify,poisons,"SER functions include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storing calcium ions."
SER,store,calcium ions,"SER functions include synthesis of carbohydrates, lipids, and steroid hormones; detoxification of medications and poisons; and storing calcium ions."
muscle cells,has SER,sarcoplasmic reticulum,"In muscle cells, a specialized SER, the sarcoplasmic reticulum, is responsible for storing calcium ions that are needed to trigger the muscle cells' coordinated contractions."
sarcoplasmic reticulum,stores,calcium ions,"In muscle cells, a specialized SER, the sarcoplasmic reticulum, is responsible for storing calcium ions that are needed to trigger the muscle cells' coordinated contractions."
calcium ions,triggers,muscle cells' coordinated contractions,"In muscle cells, a specialized SER, the sarcoplasmic reticulum, is responsible for storing calcium ions that are needed to trigger the muscle cells' coordinated contractions."
endomembrane system,is a,cellular organelle,You can watch an excellent animation of the endomembrane system here.
animation,is at the end of,self-assessment,"At the end of the animation, there is a short self-assessment."
self-assessment,is short,self-assessment,"At the end of the animation, there is a short self-assessment."
Heart disease,is leading cause of death in,United States,Heart disease is the leading cause of death in the United States.
sedentary lifestyle,cause,health problems,This is primarily due to our sedentary lifestyle and our high trans-fat diets.
high trans-fat diets,cause,health problems,This is primarily due to our sedentary lifestyle and our high trans-fat diets.
Heart failure,is one of,many disabling heart conditions,Heart failure is just one of many disabling heart conditions.
many disabling heart conditions,include,heart failure,Heart failure is just one of many disabling heart conditions.
heart failure,does not mean,heart has stopped working,Heart failure does not mean that the heart has stopped working.
heart,has,stopped working,Heart failure does not mean that the heart has stopped working.
heart,can't pump with sufficient force to transport,oxygenated blood,"Rather, it means that the heart can't pump with sufficient force to transport oxygenated blood to all the vital organs."
heart,can't pump with sufficient force to transport,vital organs,"Rather, it means that the heart can't pump with sufficient force to transport oxygenated blood to all the vital organs."
heart failure,can lead to,kidney failure,"Left untreated, heart failure can lead to kidney failure and other organ failure."
heart failure,can lead to,organ failure,"Left untreated, heart failure can lead to kidney failure and other organ failure."
Cardiac muscle tissue,comprises,heart,Cardiac muscle tissue comprises the heart's wall.
heart failure,occurs when,cardiac muscle cells' endoplasmic reticula do not function properly,Heart failure occurs when cardiac muscle cells' endoplasmic reticula do not function properly.
cardiac muscle cells,do not function properly,heart failure,Heart failure occurs when cardiac muscle cells' endoplasmic reticula do not function properly.
endoplasmic reticula,do not function properly,heart failure,Heart failure occurs when cardiac muscle cells' endoplasmic reticula do not function properly.
calcium ions,trigger,contractile force,"As a result, an insufficient number of calcium ions are available to trigger a sufficient contractile force."
Cardiologists,specialize in treating,heart diseases,"Cardiologists (cardi- = ""heart""; -ologist = ""one who studies"") are doctors who specialize in treating heart diseases, including heart failure."
Cardiologists,treat,heart failure,"Cardiologists (cardi- = ""heart""; -ologist = ""one who studies"") are doctors who specialize in treating heart diseases, including heart failure."
Cardiologists,diagnose,heart failure,"Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
Cardiologists,perform,physical examination,"Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
Cardiologists,use,electrocardiogram,"Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
ECG,measure,heart's electrical activity,"Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
Cardiologists,use,chest X-ray,"Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
chest X-ray,see,heart is enlarged,"Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
other tests,help diagnose,heart failure,"Cardiologists can diagnose heart failure via a physical examination, results from an electrocardiogram (ECG, a test that measures the heart's electrical activity), a chest X-ray to see whether the heart is enlarged, and other tests."
cardiologist,diagnoses,heart failure,"If the cardiologist diagnoses heart failure, he or she will typically prescribe appropriate medications and recommend a reduced table salt intake and a supervised exercise program."
cardiologist,prescribes,appropriate medications,"If the cardiologist diagnoses heart failure, he or she will typically prescribe appropriate medications and recommend a reduced table salt intake and a supervised exercise program."
cardiologist,recommends,reduced table salt intake,"If the cardiologist diagnoses heart failure, he or she will typically prescribe appropriate medications and recommend a reduced table salt intake and a supervised exercise program."
cardiologist,recommends,supervised exercise program,"If the cardiologist diagnoses heart failure, he or she will typically prescribe appropriate medications and recommend a reduced table salt intake and a supervised exercise program."
vesicles,transported from,ER,"We have already mentioned that vesicles can bud from the ER and transport their contents elsewhere, but where do the vesicles go?"
vesicles,contain,contents,"We have already mentioned that vesicles can bud from the ER and transport their contents elsewhere, but where do the vesicles go?"
lipids,need sorting within,transport vesicles,"Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
proteins,need sorting within,transport vesicles,"Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
transport vesicles,need packaging for,lipids,"Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
transport vesicles,need packaging for,proteins,"Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
transport vesicles,need tagging for,lipids,"Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
transport vesicles,need tagging for,proteins,"Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
transport vesicles,end up in,right place,"Before reaching their final destination, the lipids or proteins within the transport vesicles still need sorting, packaging, and tagging so that they end up in the right place."
Golgi apparatus,is located in,flattened membranes,"Sorting, tagging, packaging, and distributing lipids and proteins takes place in the Golgi apparatus (also called the Golgi body), a series of flattened membranes (Figure 4.20)."
Golgi apparatus,is also called,Golgi body,"Sorting, tagging, packaging, and distributing lipids and proteins takes place in the Golgi apparatus (also called the Golgi body), a series of flattened membranes (Figure 4.20)."
flattened membranes,are used for,"sorting, tagging, packaging, and distributing lipids and proteins","Sorting, tagging, packaging, and distributing lipids and proteins takes place in the Golgi apparatus (also called the Golgi body), a series of flattened membranes (Figure 4.20)."
Golgi body,is a series of,flattened membranes,"Sorting, tagging, packaging, and distributing lipids and proteins takes place in the Golgi apparatus (also called the Golgi body), a series of flattened membranes (Figure 4.20)."
flattened membranes,are shown in,Figure 4.20,"Sorting, tagging, packaging, and distributing lipids and proteins takes place in the Golgi apparatus (also called the Golgi body), a series of flattened membranes (Figure 4.20)."
Golgi apparatus,is part of,white blood cell,"The Golgi apparatus in this white blood cell is visible as a stack of semicircular, flattened rings in the lower portion of the image."
vesicles,are near,Golgi apparatus,You can see several vesicles near the Golgi apparatus.
Golgi apparatus,has cis face,cis face,We call the Golgi apparatus' the cis face.
trans face,is opposite of,opposite side,The opposite side is the trans face.
transport vesicles,formed from,ER,"The transport vesicles that formed from the ER travel to the cis face, fuse with it, and empty their contents into the Golgi apparatus' lumen."
