subject,relation,object,sentence
form,follows,function,"Have you ever heard the phrase ""form follows function?"""
industries,follows philosophy,It,It's a philosophy that many industries follow.
architecture,is a type of,design discipline,"In architecture, this means that buildings should be constructed to support the activities that will be carried out inside them."
buildings,should be constructed to support,activities carried out inside them,"In architecture, this means that buildings should be constructed to support the activities that will be carried out inside them."
skyscraper,should include,elevator banks,"For example, a skyscraper should include several elevator banks."
hospital,should have,emergency room,A hospital should have its emergency room easily accessible.
emergency room,be easily accessible,,A hospital should have its emergency room easily accessible.
natural world,utilizes principle of,form following function,"Our natural world also utilizes the principle of form following function, especially in cell biology, and this will become clear as we explore eukaryotic cells (Figure 4.8)."
cell biology,is explored in,eukaryotic cells,"Our natural world also utilizes the principle of form following function, especially in cell biology, and this will become clear as we explore eukaryotic cells (Figure 4.8)."
eukaryotic cells,are shown in,Figure 4.8,"Our natural world also utilizes the principle of form following function, especially in cell biology, and this will become clear as we explore eukaryotic cells (Figure 4.8)."
eukaryotic cells,have,membrane-bound nucleus,"Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
eukaryotic cells,have,numerous membrane-bound organelles,"Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
numerous membrane-bound organelles,include,endoplasmic reticulum,"Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
numerous membrane-bound organelles,include,Golgi apparatus,"Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
numerous membrane-bound organelles,include,chloroplasts,"Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
numerous membrane-bound organelles,include,mitochondria,"Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
eukaryotic cells,have,"several, rod-shaped chromosomes","Unlike prokaryotic cells, eukaryotic cells have: 1) a membrane-bound nucleus; 2) numerous membrane-bound organelles such as the endoplasmic reticulum, Golgi apparatus, chloroplasts, mitochondria, and others; and 3) several, rod-shaped chromosomes."
eukaryotic cell,has membrane,membrane,"Because a membrane surrounds eukaryotic cell's nucleus, it has a ""true nucleus."""
