keywords,sentence
"['cell', 'living thing']",A cell is the smallest unit of a living thing.
"['organism', 'bacteria', 'human']","Whether comprised of one cell (like bacteria) or many cells (like a human), we call it an organism."
"['cells', 'organisms']","Thus, cells are the basic building blocks of all organisms."
"['cells', 'tissues']",Several cells of one kind that interconnect with each other and perform a shared function form tissues.
"['brain', 'heart', 'stomach', 'digestive system', 'circulatory system', 'nervous system']","These tissues combine to form an organ (your stomach, heart, or brain), and several organs comprise an organ system (such as the digestive system, circulatory system, or nervous system)."
"['human being', 'organism']",Several systems that function together form an organism (like a human being).
"['cells', 'structure', 'function']","Here, we will examine the structure and function of cells."
"['prokaryotic', 'eukaryotic', 'scientists']","There are many types of cells, which scientists group into one of two broad categories: prokaryotic and eukaryotic."
"['eukaryotic cells', 'animal', 'plant cells', 'bacterial cells', 'prokaryotic']","For example, we classify both animal and plant cells as eukaryotic cells; whereas, we classify bacterial cells as prokaryotic."
"['cell', 'prokaryotic', 'eukaryotic', 'biologists']","Before discussing the criteria for determining whether a cell is prokaryotic or eukaryotic, we will first examine how biologists study cells."
['Cells'],Cells vary in size.
"['scientists', 'microscopes']","With few exceptions, we cannot see individual cells with the naked eye, so scientists use microscopes (micro- = ""small""; -scope = ""to look at"") to study them."
['microscope'],A microscope is an instrument that magnifies an object.
"['microscope', 'micrographs']","We photograph most cells with a microscope, so we can call these images micrographs."
"['microscope', 'lenses']",The optics of a microscope's lenses change the image orientation that the user sees.
"['microscope slide', 'microscope']","A specimen that is right-side up and facing right on the microscope slide will appear upside-down and facing left when one views through a microscope, and vice versa."
['microscope'],"Similarly, if one moves the slide left while looking through the microscope, it will appear to move right, and if one moves it down, it will seem to move up."
['microscopes'],This occurs because microscopes use two sets of lenses to magnify the image.
"['binocular', 'dissecting microscopes']","Because of the manner by which light travels through the lenses, this two lens system produces an inverted image (binocular, or dissecting microscopes, work in a similar manner, but include an additional magnification system that makes the final image appear to be upright)."
"['human', 'red blood cell', 'meter', 'micrometers', 'diameter']","To give you a sense of cell size, a typical human red blood cell is about eight millionths of a meter or eight micrometers (abbreviated as eight μm) in diameter."
"['meter', 'mm']",A pin head is about two thousandths of a meter (two mm) in diameter.
['red blood cells'],That means about 250 red blood cells could fit on a pinhead.
"['microscopes', 'light microscopes', 'Figure 4.2a']",Most student microscopes are light microscopes (Figure 4.2a).
"['Visible light', 'lens system', 'user', 'specimen']",Visible light passes and bends through the lens system to enable the user to see the specimen.
['Light microscopes'],"Light microscopes are advantageous for viewing living organisms, but since individual cells are generally transparent, their components are not distinguishable unless they are colored with special stains."
"['cells', 'Staining']","Staining, however, usually kills the cells."
"['Light microscopes', 'undergraduates']",Light microscopes that undergraduates commonly use in the laboratory magnify up to approximately 400 times.
"['microscopy', 'magnification', 'resolving power']",Two parameters that are important in microscopy are magnification and resolving power.
['Magnification'],Magnification is the process of enlarging an object in appearance.
"['microscope', 'resolving power']","Resolving power is the microscope's ability to distinguish two adjacent structures as separate: the higher the resolution, the better the image's clarity and detail."
"['oil immersion lenses', 'magnification']","When one uses oil immersion lenses to study small objects, magnification usually increases to 1,000 times."
"['scientists', 'cellular structure', 'function', 'electron microscopes']","In order to gain a better understanding of cellular structure and function, scientists typically use electron microscopes."
"['light microscopes', 'college biology lab', 'cells', 'resolution', 'nanometers']",a) Most light microscopes in a college biology lab can magnify cells up to approximately 400 times and have a resolution of about 200 nanometers.
"['Electron microscopes', 'magnification', 'resolution', 'picometers']","b) Electron microscopes provide a much higher magnification, 100,000x, and a have a resolution of 50 picometers."
"['electrons', 'light']",use a beam of electrons instead of a beam of light.
['Figure 4.3'],"Not only does this allow for higher magnification and, thus, more detail (Figure 4.3), it also provides higher resolving power."
"['electron microscope', 'specimen']",The method to prepare the specimen for viewing with an electron microscope kills the specimen.
"['electrons', 'photons']","Electrons have short wavelengths (shorter than photons) that move best in a vacuum, so we cannot view living cells with an electron microscope."
"['scanning electron microscope', 'electrons', ""cell's surface""]","In a scanning electron microscope, a beam of electrons moves back and forth across a cell's surface, creating details of cell surface characteristics."
"['transmission electron microscope', 'electron beam', 'cell', 'internal structures']","In a transmission electron microscope, the electron beam penetrates the cell and provides details of a cell's internal structures."
"['electron microscopes', 'light microscopes']","As you might imagine, electron microscopes are significantly more bulky and expensive than light microscopes."
